id,score
A000001,88.3
A000002,96
A000003,88.8
A000004,79.7
A000005,84.4
A000006,90
A000007,98.7
A000008,86.8
A000009,80.7
A000010,93
A000011,91.7
A000012,91.3
A000013,54.6
A000014,96.1
A000015,81.8
A000016,52.5
A000017,52.3
A000018,84.5
A000019,79.6
A000020,97.5
A000021,82.6
A000022,85.1
A000023,99.5
A000024,74.7
A000025,93.1
A000026,86.5
A000027,40.2
A000028,89.6
A000029,99.8
A000030,87.5
A000031,97
A000032,78.4
A000033,95.3
A000034,44.8
A000035,91.1
A000036,97.6
A000037,82.7
A000038,84.2
A000039,94.2
A000040,70.5
A000041,91.3
A000042,42.2
A000043,80.1
A000044,53.2
A000045,75.7
A000046,82.8
A000047,96.2
A000048,43.9
A000049,70
A000050,99.5
A000051,83.6
A000052,86.9
A000053,92.2
A000054,71.4
A000055,97.8
A000056,92.3
A000057,85
A000058,63.7
A000059,65.7
A000060,77.1
A000061,73.5
A000062,81
A000063,90.1
A000064,85.2
A000065,95.1
A000066,48.3
A000067,99.9
A000068,73.5
A000069,72.7
A000070,89
A000071,72.6
A000072,86.6
A000073,70.8
A000074,70
A000075,93.1
A000076,78.1
A000077,73.6
A000078,77.2
A000079,95.5
A000080,71.3
A000081,76.2
A000082,73.6
A000083,71.8
A000084,71.4
A000085,74.9
A000086,93
A000087,81
A000088,83
A000089,74.3
A000090,77.1
A000091,61.3
A000092,88
A000093,80.9
A000094,95.7
A000095,81.1
A000096,85
A000097,94.9
A000098,82.6
A000099,58.1
A000100,72.7
A000101,81.2
A000102,79.5
A000103,78.9
A000104,92.3
A000105,81.4
A000106,86.8
A000107,100
A000108,71.6
A000109,99.4
A000110,97.6
A000111,94
A000112,92.1
A000113,78.2
A000114,54.8
A000115,67.6
A000116,86.9
A000117,83.3
A000118,73.5
A000119,93.8
A000120,76.7
A000121,84.2
A000122,94.8
A000123,85.2
A000124,81.8
A000125,73.4
A000126,95.9
A000127,96.3
A000128,92
A000129,95.2
A000130,97.2
A000131,74.1
A000132,92.6
A000133,74.1
A000134,74.5
A000135,84.2
A000136,86.5
A000137,80.7
A000138,77.7
A000139,85.7
A000140,73.6
A000141,42.2
A000142,89.2
A000143,95.5
A000144,82.5
A000145,99.5
A000146,78.9
A000147,90.5
A000148,53.8
A000149,91
A000150,71.1
A000151,92.4
A000152,96.9
A000153,80.4
A000154,85.1
A000155,79.7
A000156,77.3
A000157,98.5
A000158,95.6
A000159,86.1
A000160,88
A000161,84.1
A000162,90.2
A000163,74.2
A000164,87.9
A000165,94
A000166,81.5
A000167,95.7
A000168,73
A000169,85.1
A000170,82.1
A000171,56.2
A000172,91.4
A000173,81.5
A000174,90.6
A000175,73
A000176,86.4
A000177,96.1
A000178,75.3
A000179,98.7
A000180,88.3
A000181,73.6
A000182,73.3
A000183,54
A000184,84.3
A000185,40.7
A000186,72.4
A000187,94.5
A000188,81.2
A000189,88.4
A000190,66.1
A000191,91.1
A000192,86.5
A000193,95.5
A000194,81.3
A000195,96
A000196,72
A000197,70.9
A000198,80
A000199,82.8
A000200,75.8
A000201,94.5
A000202,65.5
A000203,87.9
A000204,40.6
A000205,78.2
A000206,72.2
A000207,83
A000208,99.4
A000209,90.6
A000210,95.1
A000211,84.6
A000212,82.1
A000213,88.7
A000214,82.6
A000215,42.3
A000216,77.2
A000217,89.4
A000218,82.9
A000219,83.4
A000220,81.7
A000221,79.1
A000222,89.4
A000223,83.5
A000224,86.7
A000225,64
A000226,81.4
A000227,81.2
A000228,85.2
A000229,82.9
A000230,73.9
A000231,80.6
A000232,71
A000233,87.4
A000234,53.1
A000235,56.9
A000236,56.3
A000237,85.1
A000238,50.6
A000239,72.8
A000240,97.2
A000241,58.1
A000242,97.3
A000243,92.8
A000244,78.4
A000245,86.3
A000246,96.1
A000247,83.7
A000248,91
A000249,51.9
A000250,83.1
A000251,72.2
A000252,86.1
A000253,80.8
A000254,77.9
A000255,79.7
A000256,83.2
A000257,85.5
A000258,87.8
A000259,82.5
A000260,91.4
A000261,95.9
A000262,94.4
A000263,85.2
A000264,86.3
A000265,76.1
A000266,96.2
A000267,77.2
A000268,79.7
A000269,59.5
A000270,89.7
A000271,82.2
A000272,78.4
A000273,78.3
A000274,75.3
A000275,98.9
A000276,82.3
A000277,74.7
A000278,85.1
A000279,98.7
A000280,79.9
A000281,80.4
A000282,78.6
A000283,76.2
A000284,71.4
A000285,97.5
A000286,87.7
A000287,85.7
A000288,72.5
A000289,86.4
A000290,87.3
A000291,94.2
A000292,93.5
A000293,75.4
A000294,78.2
A000295,81.7
A000296,78.7
A000297,94.7
A000298,93.9
A000299,81
A000300,88.2
A000301,96.1
A000302,98.7
A000303,93.8
A000304,78.5
A000305,82.7
A000306,73.7
A000307,73.3
A000308,96.7
A000309,96.7
A000310,77.6
A000311,72.8
A000312,88.5
A000313,89.9
A000314,91.7
A000315,89.9
A000316,56.5
A000317,91.5
A000318,70.9
A000319,92.9
A000320,40.1
A000321,99.2
A000322,90.5
A000323,76.8
A000324,88.8
A000325,64.7
A000326,70.7
A000327,91.5
A000328,62.1
A000329,45.3
A000330,75.7
A000331,70.4
A000332,83.4
A000333,87.9
A000334,70.2
A000335,64.1
A000336,70.9
A000337,97.1
A000338,52.6
A000339,78
A000340,85.3
A000341,94.6
A000342,81.1
A000343,79.1
A000344,97.8
A000345,74.2
A000346,76.8
A000347,70.4
A000348,74.5
A000349,72.3
A000350,95.2
A000351,50.3
A000352,97.9
A000353,84.3
A000354,94.5
A000355,70.3
A000356,76.9
A000357,70.2
A000358,75.5
A000359,72.7
A000360,76.7
A000361,96.5
A000362,89
A000363,89.9
A000364,74.8
A000365,61.1
A000366,99.7
A000367,74.6
A000368,76.2
A000369,86.1
A000370,74.1
A000371,88.9
A000372,80.8
A000373,89.1
A000374,75.3
A000375,75.1
A000376,90.4
A000377,74.2
A000378,98.2
A000379,70.6
A000380,99.4
A000381,96.3
A000382,91.9
A000383,89.2
A000384,93.3
A000385,94
A000386,77.4
A000387,93.9
A000388,54
A000389,96.4
A000390,96.6
A000391,70.8
A000392,83.8
A000393,69.5
A000394,93.2
A000395,77.5
A000396,97
A000397,93.8
A000398,99.4
A000399,89.3
A000400,85.6
A000401,40.8
A000402,95.5
A000403,61.1
A000404,77.7
A000405,82.3
A000406,87.4
A000407,72.2
A000408,93.2
A000409,88.6
A000410,92.2
A000411,49.5
A000412,73.1
A000413,75.4
A000414,55.3
A000415,80.9
A000416,99.4
A000417,48.6
A000418,73.6
A000419,97.8
A000420,72.2
A000421,82.4
A000422,85.8
A000423,82.4
A000424,79.7
A000425,95.1
A000426,50.9
A000427,84.8
A000428,71.1
A000429,80
A000430,77.8
A000431,83.3
A000432,97.9
A000433,91.1
A000434,77.4
A000435,84.2
A000436,65.4
A000437,80.2
A000438,73
A000439,81.8
A000440,82.7
A000441,81.7
A000442,86.7
A000443,99.4
A000444,92.6
A000445,43.6
A000446,93
A000447,93
A000448,85.5
A000449,41
A000450,74.4
A000451,79.5
A000452,71.2
A000453,76.4
A000454,74.7
A000455,87
A000456,83.3
A000457,80.9
A000458,80.9
A000459,97
A000460,74.7
A000461,86
A000462,92.3
A000463,85.2
A000464,96.8
A000465,95.1
A000466,79.9
A000467,72.5
A000468,69.1
A000469,70.5
A000470,42.9
A000471,89.5
A000472,94.9
A000473,77.5
A000474,97.5
A000475,75.4
A000476,75.7
A000477,80.7
A000478,80.6
A000479,72.5
A000480,86.7
A000481,78.5
A000482,87.4
A000483,87
A000484,80.4
A000485,70.2
A000486,85.8
A000487,97.1
A000488,77.5
A000489,86.2
A000490,99.8
A000491,82.8
A000492,81.6
A000493,79
A000494,75.3
A000495,92.1
A000496,71.3
A000497,89
A000498,79.7
A000499,80.5
A000500,94.4
A000501,85.6
A000502,99.9
A000503,92.3
A000504,76.7
A000505,81.7
A000506,78.9
A000507,79.9
A000508,89.4
A000509,91.8
A000510,57
A000511,98.2
A000512,81.6
A000513,80.3
A000514,96
A000515,84.3
A000516,97.9
A000517,88.2
A000518,78.2
A000519,70.6
A000520,84.8
A000521,94.2
A000522,78.7
A000523,86.1
A000524,79
A000525,81.1
A000526,77.9
A000527,97.9
A000528,71.2
A000529,97.3
A000530,83.1
A000531,48.5
A000532,74.7
A000533,90.3
A000534,54.2
A000535,88.3
A000536,88
A000537,86.4
A000538,83.5
A000539,81.8
A000540,79.9
A000541,84.1
A000542,83.4
A000543,82.3
A000544,82.2
A000545,98.1
A000546,80.6
A000547,74.6
A000548,74.2
A000549,95.7
A000550,76.1
A000551,78.2
A000552,95.8
A000553,79.3
A000554,80.9
A000555,96
A000556,53.6
A000557,75.5
A000558,79.8
A000559,88.2
A000560,70.3
A000561,82.1
A000562,94.4
A000563,87.8
A000564,92.2
A000565,77.4
A000566,84.8
A000567,84.5
A000568,97.9
A000569,85.6
A000570,91.4
A000571,94.3
A000572,94.1
A000573,66.7
A000574,72.9
A000575,85
A000576,41.7
A000577,80.4
A000578,91.7
